DFS Line
0.047904 	 17 	 10
0.010977 	 145 	 60
0.052376 	 285 	 110
0.100407 	 425 	 160
0.149326 	 511 	 210
0.320938 	 644 	 260
0.373354 	 769 	 310
0.481163 	 867 	 360
0.496538 	 952 	 410
0.751407 	 1078 	 460
1.222777 	 1222 	 510
1.148561 	 1294 	 560
1.814819 	 1494 	 610
1.688302 	 1571 	 660
1.879600 	 1693 	 710
2.254267 	 1827 	 760
3.119077 	 2004 	 810
2.751270 	 2071 	 860
3.746029 	 2219 	 910
4.300482 	 2322 	 960
==================
A* Perfect
0.054546 	 16 	 10
0.007009 	 521 	 60
0.011610 	 987 	 110
0.080672 	 3479 	 160
0.076879 	 5290 	 210
0.095689 	 5478 	 260
0.104107 	 6521 	 310
0.103739 	 6761 	 360
0.500056 	 17167 	 410
0.205676 	 11308 	 460
0.842811 	 36721 	 510
0.669023 	 23746 	 560
1.000193 	 29676 	 610
0.694051 	 23492 	 660
1.091678 	 39748 	 710
1.093970 	 37343 	 760
2.032246 	 56845 	 810
2.068070 	 57375 	 860
2.318170 	 74491 	 910
2.241027 	 52005 	 960
